target_instances_optimized,target_total_verified,target_results_path,target_instances,target_success,target_errors,target_timeouts,target_mean,target_std,target_par10,default_total_verified,default_results_path,default_instances,default_success,default_errors,default_timeout,default_mean,default_std,default_par10,delta_total_verified,delta_mean,delta_std,delta_sum,delta_max,delta_min
64,156,mnist_fc_24h/pf_1_net_1/runs/results_64_instances.json,132,78,0,54,1607.6492130864751,1704.7776183846565,1537.4401341767023,964,mnist_fc_24h/default/results_default_net_1_data_nnenum.json,132,79,0,53,1584.7331034649503,1702.7594889432319,1515.6064222942698,132,22.91610962152481,109.9638935123403,3024.926470041275,738.088353395462,-8.307481288909912
8,163,mnist_fc_24h/pf_1_net_1/runs/results_8_instances.json,131,77,0,54,1620.614473117217,1708.0883359592765,1506.6376665330115,964,mnist_fc_24h/default/results_default_net_1_data_nnenum.json,131,78,0,53,1588.1581221300228,1708.7931896409536,1504.2751736094933,131,32.45635098719415,129.65204961315095,4251.7819793224335,759.7470288276672,-52.77305579185486
32,164,mnist_fc_24h/pf_1_net_1/runs/results_32_instances.json,132,78,0,54,1612.1686271194255,1705.5307257573425,1537.9207074154508,964,mnist_fc_24h/default/results_default_net_1_data_nnenum.json,132,79,0,53,1584.7331034649503,1702.7594889432319,1515.6064222942698,132,27.435523654475357,132.1074845570224,3621.489122390747,1035.0937132835388,-69.71867799758911
16,163,mnist_fc_24h/pf_1_net_1/runs/results_16_instances.json,131,77,0,54,1617.0957404766375,1711.7160439983472,1526.74604509805,964,mnist_fc_24h/default/results_default_net_1_data_nnenum.json,131,78,0,53,1588.1581221300228,1708.7931896409536,1504.2751736094933,131,28.93761834661469,137.5552253820316,3790.8280034065247,1090.1947367191315,-52.87625074386597
