target_instances_optimized,target_total_verified,target_results_path,target_instances,target_success,target_errors,target_timeouts,target_mean,target_std,target_par10,default_total_verified,default_results_path,default_instances,default_success,default_errors,default_timeout,default_mean,default_std,default_par10,delta_total_verified,delta_mean,delta_std,delta_sum,delta_max,delta_min
128,1161,mnist_fc_24h/pf_2_net_3/runs/results_128_instances.json,874,587,0,287,67.23092374130572,93.53644915804716,357.61993975961235,1234,mnist_fc_24h/default/results_default_net_3_data_nnenum.json,874,771,0,103,38.698132486037856,82.50956082544322,248.7667823716214,874,28.53279125526786,52.24710076380202,24937.65955710411,295.3558838367462,-0.23405051231384277
64,3365,mnist_fc_24h/pf_2_net_3/runs/results_64_instances.json,1000,611,0,389,84.22055647611619,107.44988511313238,537.8205564761162,1234,mnist_fc_24h/default/results_default_net_3_data_nnenum.json,1000,857,0,143,47.42178528761864,93.43957167399152,339.0217852876186,1000,36.79877118849755,67.10602128973916,36798.77118849754,296.1574957370758,-45.88972878456116
256,1150,mnist_fc_24h/pf_2_net_3/runs/results_256_instances.json,874,598,0,276,65.37380081838,92.77766766543678,346.4950822829109,1234,mnist_fc_24h/default/results_default_net_3_data_nnenum.json,874,771,0,103,38.698132486037856,82.50956082544322,248.7667823716214,874,26.675668332342152,49.42571797608875,23314.53412246704,284.01658058166504,-0.23646044731140137
32,2278,mnist_fc_24h/pf_2_net_3/runs/results_32_instances.json,1000,626,0,374,80.46842668700218,108.33090987509594,531.3684266870022,1234,mnist_fc_24h/default/results_default_net_3_data_nnenum.json,1000,857,0,143,47.42178528761864,93.43957167399152,339.0217852876186,1000,33.046641399383546,66.19216083845782,33046.641399383545,297.6618826389313,-0.36222267150878906
16,2270,mnist_fc_24h/pf_2_net_3/runs/results_16_instances.json,1000,626,0,374,79.11468893527984,105.49847359821788,489.5146889352798,1234,mnist_fc_24h/default/results_default_net_3_data_nnenum.json,1000,857,0,143,47.42178528761864,93.43957167399152,339.0217852876186,1000,31.692903647661208,61.096661791541266,31692.90364766121,297.6618826389313,-0.3329622745513916
512,1148,mnist_fc_24h/pf_2_net_3/runs/results_512_instances.json,874,600,0,274,66.22639074914788,93.67396824488634,356.61540676745454,1234,mnist_fc_24h/default/results_default_net_3_data_nnenum.json,874,771,0,103,38.698132486037856,82.50956082544322,248.7667823716214,874,27.528258263110022,52.02910671677209,24059.69772195816,295.3173906803131,-0.27091383934020996
