target_instances_optimized,target_total_verified,target_results_path,target_instances,target_success,target_errors,target_timeouts,target_mean,target_std,target_par10,default_total_verified,default_results_path,default_instances,default_success,default_errors,default_timeout,default_mean,default_std,default_par10,delta_total_verified,delta_mean,delta_std,delta_sum,delta_max,delta_min
128,1706,mnist_fc_24h/pf_1_net_3/runs/results_128_instances.json,1000,839,0,161,50.89033160495758,94.9710531735078,355.9903316049576,1234,mnist_fc_24h/default/results_default_net_3_data_nnenum.json,1000,857,0,143,47.42178528761864,93.43957167399152,339.0217852876186,1000,3.4685463173389435,10.807650383133163,3468.5463173389435,110.28058934211731,-9.66228437423706
64,3365,mnist_fc_24h/pf_1_net_3/runs/results_64_instances.json,1000,611,0,389,84.22055647611619,107.44988511313238,537.8205564761162,1234,mnist_fc_24h/default/results_default_net_3_data_nnenum.json,1000,857,0,143,47.42178528761864,93.43957167399152,339.0217852876186,1000,36.79877118849755,67.10602128973916,36798.77118849754,296.1574957370758,-45.88972878456116
8,3358,mnist_fc_24h/pf_1_net_3/runs/results_8_instances.json,1000,619,0,381,83.76708024072647,107.85457526556175,537.3670802407265,1234,mnist_fc_24h/default/results_default_net_3_data_nnenum.json,1000,857,0,143,47.42178528761864,93.43957167399152,339.0217852876186,1000,36.34529495310783,67.15078614285868,36345.294953107834,296.1574957370758,-0.33020877838134766
256,2094,mnist_fc_24h/pf_1_net_3/runs/results_256_instances.json,1000,567,0,433,92.85985940194129,107.72587489549794,568.0598594019413,1234,mnist_fc_24h/default/results_default_net_3_data_nnenum.json,1000,857,0,143,47.42178528761864,93.43957167399152,339.0217852876186,1000,45.43807411432266,71.87594281370853,45438.07411432266,296.1574957370758,-0.25808000564575195
32,2278,mnist_fc_24h/pf_1_net_3/runs/results_32_instances.json,1000,626,0,374,80.46842668700218,108.33090987509594,531.3684266870022,1234,mnist_fc_24h/default/results_default_net_3_data_nnenum.json,1000,857,0,143,47.42178528761864,93.43957167399152,339.0217852876186,1000,33.046641399383546,66.19216083845782,33046.641399383545,297.6618826389313,-0.36222267150878906
16,2270,mnist_fc_24h/pf_1_net_3/runs/results_16_instances.json,1000,626,0,374,79.11468893527984,105.49847359821788,489.5146889352798,1234,mnist_fc_24h/default/results_default_net_3_data_nnenum.json,1000,857,0,143,47.42178528761864,93.43957167399152,339.0217852876186,1000,31.692903647661208,61.096661791541266,31692.90364766121,297.6618826389313,-0.3329622745513916
512,2069,mnist_fc_24h/pf_1_net_3/runs/results_512_instances.json,1000,596,0,404,88.32917844390869,104.92901450340996,523.0291784439087,1234,mnist_fc_24h/default/results_default_net_3_data_nnenum.json,1000,857,0,143,47.42178528761864,93.43957167399152,339.0217852876186,1000,40.907393156290055,64.89305862854236,40907.393156290054,296.1351351737976,-0.26517438888549805
