target_instances_optimized,target_total_verified,target_results_path,target_instances,target_success,target_errors,target_timeouts,target_mean,target_std,target_par10,default_total_verified,default_results_path,default_instances,default_success,default_errors,default_timeout,default_mean,default_std,default_par10,delta_total_verified,delta_mean,delta_std,delta_sum,delta_max,delta_min
64,134,mnist_fc_24h/pf_2_net_1/runs/results_64_instances.json,132,78,0,54,1607.6492130864751,1704.7776183846565,1537.4401341767023,964,mnist_fc_24h/default/results_default_net_1_data_nnenum.json,132,79,0,53,1584.7331034649503,1702.7594889432319,1515.6064222942698,132,22.91610962152481,109.9638935123403,3024.926470041275,738.088353395462,-8.307481288909912
8,133,mnist_fc_24h/pf_2_net_1/runs/results_8_instances.json,131,77,0,54,1620.614473117217,1708.0883359592765,1506.6376665330115,964,mnist_fc_24h/default/results_default_net_1_data_nnenum.json,131,78,0,53,1588.1581221300228,1708.7931896409536,1504.2751736094933,131,32.45635098719415,129.65204961315095,4251.7819793224335,759.7470288276672,-52.77305579185486
256,304,mnist_fc_24h/pf_2_net_1/runs/results_256_instances.json,200,100,0,100,1888.4220405459405,1751.1138143224139,1690.9775774252414,964,mnist_fc_24h/default/results_default_net_1_data_nnenum.json,200,122,0,78,1593.8339661359787,1705.838707816836,1511.690270986557,200,294.5880744099617,811.6008006546787,58917.61488199234,3593.4110736846924,-0.34177398681640625
512,205,mnist_fc_24h/pf_2_net_1/runs/results_512_instances.json,202,82,1,119,2195.6485309813283,1717.017062098565,1921.4214485340779,964,mnist_fc_24h/default/results_default_net_1_data_nnenum.json,202,123,0,79,1595.8860713337908,1706.9083732278284,1511.5853830670367,202,599.7624596475374,1260.555543269586,121152.01684880257,3594.3057293891907,-54.47268223762512
