target_instances_optimized,target_total_verified,target_results_path,target_instances,target_success,target_errors,target_timeouts,target_mean,target_std,target_par10,default_total_verified,default_results_path,default_instances,default_success,default_errors,default_timeout,default_mean,default_std,default_par10,delta_total_verified,delta_mean,delta_std,delta_sum,delta_max,delta_min
64,2322,mnist_fc_24h/pf_3_net_3/runs/results_64_instances.json,1000,654,0,346,81.11093572878838,106.7335016199455,526.6109357287884,1234,mnist_fc_24h/default/results_default_net_3_data_nnenum.json,1000,857,0,143,47.42178528761864,93.43957167399152,339.0217852876186,1000,33.68915044116974,62.955610510964675,33689.15044116974,296.0502691268921,-0.23030638694763184
8,2298,mnist_fc_24h/pf_3_net_3/runs/results_8_instances.json,1000,668,0,332,78.31771243453026,105.88781943149701,507.61771243453023,1234,mnist_fc_24h/default/results_default_net_3_data_nnenum.json,1000,857,0,143,47.42178528761864,93.43957167399152,339.0217852876186,1000,30.89592714691162,59.52630376142673,30895.92714691162,296.1574957370758,-0.2022562026977539
32,3951,mnist_fc_24h/pf_3_net_3/runs/results_32_instances.json,1000,676,0,324,81.78529227733613,115.79543970701414,624.4852922773362,1234,mnist_fc_24h/default/results_default_net_3_data_nnenum.json,1000,857,0,143,47.42178528761864,93.43957167399152,339.0217852876186,1000,34.363506989717486,78.41785174595655,34363.50698971748,297.8334250450134,-7.47599720954895
16,2277,mnist_fc_24h/pf_3_net_3/runs/results_16_instances.json,1000,680,0,320,77.87504837107659,105.0683424617435,496.37504837107656,1234,mnist_fc_24h/default/results_default_net_3_data_nnenum.json,1000,857,0,143,47.42178528761864,93.43957167399152,339.0217852876186,1000,30.453263083457948,58.123460373373746,30453.263083457947,296.0502691268921,-0.2176685333251953
